Time,RSS_KB,VSZ_KB
1748514654,8192,26776
1748514655,494936,875108
1748514656,612440,993776
1748514657,686680,1069036
1748514658,753368,1136592
1748514659,823768,1207996
1748514660,890456,1275552
1748514661,945496,1331544
1748514662,980696,1367248
1748514663,1015896,1402952
1748514664,1043416,1430948
1748514665,1078488,1466652
1748514666,1113944,1502356
1748514667,1149016,1538060
1748514669,1180376,1569908
1748514670,1215704,1605612
1748514671,1243096,1632584
1748514672,1278296,1668288
1748514673,1309656,1700140
1748514674,1344984,1735844
1748514675,1380184,1771544
1748514676,1415512,1807248
1748514677,1442776,1835244
1748514678,1474264,1867096
1748514679,1537112,1930796
1748514680,1607768,2002204
1748514681,1642968,2037908
1748514682,1678296,2073608
1748514683,1713496,2109312
1748514685,1748568,2145016
1748514686,1787736,2184572
1748514687,1831000,2227984
1748514688,1866200,2263688
1748514689,1901400,2299388
1748514690,1932760,2331240
1748514691,1967960,2366944
1748514692,2003416,2402648
1748514693,2023000,2422936
1748514694,2058328,2458640
1748514695,2093656,2494344
1748514696,2124888,2526192
1748514697,2160216,2561896
1748514698,2195288,2597600
1748514699,2214872,2616868
1748514700,2250200,2652572
1748514702,2281432,2684420
1748514703,2316888,2720124
1748514704,2371672,2776116
1748514705,2399064,2804116
1748514706,2422616,2827236
1748514707,2457944,2862936
1748514708,2493144,2898640
1748514709,2528472,2934344
1748514710,2559704,2966196
1748514711,2595032,3001896
1748514712,2610776,3018336
1748514713,2645976,3054040
1748514714,2681176,3089740
1748514715,2712536,3121592
1748514716,2767576,3176560
1748514717,2791000,3200704
1748514719,2818392,3228700
1748514720,2849880,3260552
1748514721,2885080,3296256
1748514722,2920408,3331960
1748514723,2951512,3362784
1748514724,2986840,3399512
1748514725,3053272,3466040
1748514726,3088728,3501744
1748514727,3120088,3533596
1748514728,3155416,3569300
