Time,RSS_MB,VSZ_MB
1748513345,8.125,26.1484
1748513346,943.52,1284.73
1748513347,1567.27,1909.06
1748513348,1178.87,1523.8
1748513349,1572.7,1914.29
1748513350,1539.09,1889.8
1748513351,1571.5,1913.05
1748513352,1420.14,1768.56
1748513353,1360.62,1702.84
1748513354,1293.27,1640.21
1748513355,1318.32,1659.93
1748513356,1159.2,1503.98
1748513357,1323.17,1664.93
1748513358,1015.4,1357.21
1748513359,1322.32,1663.93
1748513361,971.492,1312.98
1748513362,1153.12,1495.03
1748513363,1576.62,1918.47
1748513364,971.383,1312.98
1748513365,1574.88,1916.47
1748513366,1545.89,1895.98
1748513367,1547.48,1889.71
1748513368,1391.13,1739.21
1748513369,1315.54,1657.3
1748513370,1237.65,1582.98
1748513371,1326.07,1667.93
1748513372,1103.06,1447.21
1748513373,1324.23,1665.93
1748513374,973.484,1314.98
1748513375,1260.74,1603.32
1748513377,1579.61,1921.47
1748513378,974.375,1315.98
1748513379,1577.88,1919.47
1748513380,1523.75,1873.98
1748513381,1516.34,1858.38
1748513382,1340.34,1688.21
1748513383,1326.11,1667.93
1748513384,1138.49,1482.98
1748513385,1328.99,1670.93
1748513386,977.438,1319.21
1748513387,1261.63,1604.08
1748513388,1458.92,1921.47
1748513389,1005.23,1347.68
1748513390,1582.48,1924.47
1748513392,1334.56,1681.98
1748513393,1580.73,1922.47
1748513394,1508.47,1858.98
1748513395,1545.47,1888.09
1748513396,1409.58,1758.21
1748513397,1330.36,1672.46
1748513398,1272.48,1618.98
1748513399,1331.95,1673.93
1748513400,1156.06,1500.21
1748513401,1330.12,1671.93
1748513402,996.746,1338.98
1748513403,1332.96,1674.93
1748513404,981.406,1323.21
1748513405,1147.13,1489.06
1748513406,1583.76,1925.47
1748513408,983.258,1324.98
1748513409,1586.51,1928.47
1748513410,1479.26,1828.98
1748513411,1584.67,1926.47
1748513412,1456.42,1805.98
1748513413,1402.64,1744.84
